#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
999	999	999	999	999	5.405	999	999	999
999	999	999	999	999	5.417	999	999	999
999	999	999	999	999	5.421	999	999	999
999	999	999	999	999	5.449	999	999	999
999	999	999	999	999	5.466	999	999	999
999	999	999	999	999	5.48	999	999	999
999	999	999	999	999	5.481	999	999	999
999	999	999	999	999	5.502	999	999	999
999	999	999	999	999	5.511	999	999	999
999	999	999	999	999	5.519	999	999	999
999	999	999	999	999	5.545	999	999	999
999	999	999	999	999	5.547	999	999	999
999	999	999	999	999	5.566	999	999	999
999	999	999	999	999	5.585	999	999	999
999	999	999	999	999	5.619	999	999	999
999	999	999	999	999	5.634	999	999	999
999	999	999	999	999	5.641	999	999	999
999	999	999	999	999	5.641	999	999	999
999	999	999	999	999	5.649	999	999	999
999	999	999	999	999	5.662	999	999	999
999	999	999	999	999	5.667	999	999	999
999	999	999	999	999	5.674	999	999	999
999	999	999	999	999	5.687	999	999	999
999	999	999	999	999	5.688	999	999	999
999	999	999	999	999	5.708	999	999	999
999	999	999	999	999	5.71	999	999	999
999	999	999	999	999	5.724	999	999	999
999	999	999	999	999	5.735	999	999	999
999	999	999	999	999	5.738	999	999	999
999	999	999	999	999	5.788	999	999	999
